Date : 2025-12-09 16:52:38
Directory : /Users/neilluo/workspaces/AI/ai-agent/gemini-cli/packages/core
Total : 920 files,  -183543 codes, -11481 comments, -24823 blanks, all -219847 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Ignore             |          2 |        -28 |          0 |         -2 |        -30 |
| Docker             |          1 |        -38 |         -6 |         -7 |        -51 |
| Makefile           |          1 |        -42 |         -1 |        -17 |        -60 |
| JSON with Comments |          7 |       -105 |        -10 |         -7 |       -122 |
| Shell Script       |          2 |       -130 |        -21 |        -27 |       -178 |
| JavaScript         |         39 |     -4,765 |       -606 |       -736 |     -6,107 |
| YAML               |         50 |     -5,461 |        -59 |       -634 |     -6,154 |
| Markdown           |         78 |    -15,350 |         -7 |     -4,259 |    -19,616 |
| JSON               |         15 |    -21,074 |          0 |        -15 |    -21,089 |
| TypeScript JSX     |        256 |    -48,399 |     -3,420 |     -6,693 |    -58,512 |
| TypeScript         |        469 |    -88,151 |     -7,351 |    -12,426 |   -107,928 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |        920 |   -183,543 |    -11,481 |    -24,823 |   -219,847 |
| ..                                                                                                                                   |        920 |   -183,543 |    -11,481 |    -24,823 |   -219,847 |
| ../..                                                                                                                                |        209 |    -51,125 |     -1,263 |     -6,430 |    -58,818 |
| ../.. (Files)                                                                                                                        |         15 |    -20,226 |        -33 |       -430 |    -20,689 |
| ../../.allstar                                                                                                                       |          1 |         -1 |          0 |         -1 |         -2 |
| ../../.gcp                                                                                                                           |          1 |        -57 |         -6 |         -9 |        -72 |
| ../../.gemini                                                                                                                        |          1 |        -10 |         -2 |         -1 |        -13 |
| ../../.github                                                                                                                        |         48 |     -5,452 |        -74 |       -632 |     -6,158 |
| ../../.github (Files)                                                                                                                |          2 |        -55 |        -11 |        -13 |        -79 |
| ../../.github/ISSUE_TEMPLATE                                                                                                         |          3 |       -119 |         -1 |        -17 |       -137 |
| ../../.github/actions                                                                                                                |         11 |       -912 |         -7 |        -79 |       -998 |
| ../../.github/actions/calculate-vars                                                                                                 |          1 |        -29 |          0 |         -5 |        -34 |
| ../../.github/actions/create-pull-request                                                                                            |          1 |        -54 |          0 |         -3 |        -57 |
| ../../.github/actions/npm-auth-token                                                                                                 |          1 |        -42 |          0 |         -4 |        -46 |
| ../../.github/actions/post-coverage-comment                                                                                          |          1 |       -108 |         -3 |         -9 |       -120 |
| ../../.github/actions/publish-release                                                                                                |          1 |       -253 |         -2 |        -21 |       -276 |
| ../../.github/actions/push-docker                                                                                                    |          1 |        -76 |          0 |         -3 |        -79 |
| ../../.github/actions/push-sandbox                                                                                                   |          1 |        -94 |          0 |         -3 |        -97 |
